breach_id,breach_location_id,scenario_id,scenario_name,return_period,discharge_m3s,breach_name,dijkring,river,damage_MEUR,victims,affected,model_resolution,initial_breach_width,max_breach_width,breach_growth_method,scenario_layer,map_id,id,breachtypes_id,dijkringareas_id,openwaters_id,name,code,x,y,notify,lt30,f30t300,f300t3000,f3000t30k,gt30k,dreigende_overstroming,geometry_type,geometry_x,geometry_y
385,385,12486,38_Doel 1/4000 standaard,4000,,BeOost - 13,Dijkring 32 - Zeeuwsch Vlaanderen,Westerschelde,23,0,89,"25,0","10,0", , ,scenario_12486,3400,385,2,33.0,112,BeOost - 13,PRIM,76554,370229,,0,0,1,1,1,0.0,Point,76554,370229
385,385,12487,38_Doel 1/40000 standaard,40000,,BeOost - 13,Dijkring 32 - Zeeuwsch Vlaanderen,Westerschelde,32,0,116,"25,0","10,0", , ,scenario_12487,3393,385,2,33.0,112,BeOost - 13,PRIM,76554,370229,,0,0,1,1,1,0.0,Point,76554,370229
386,386,19089,tp+1d Bersche Maas 227,12499,,Bergsche Maas,Dijkring 37 - Nederhemert,Bergsche Maas,8,0,44,"100,0","-999,0", , ,scenario_19089,26573,386,2,40.0,12,Bergsche Maas,PRIM,140135,417559,Deze overstroming kan tot nieuwe dijkdoorbraken leiden op andere benedenstroomse locaties in dijkring 24 vanwege extra instroom in de Afgedamde Maas.,0,1,1,1,0,0.0,Point,140135,417559
386,386,19087,tp-1d Bersche Maas 227,125,,Bergsche Maas,Dijkring 37 - Nederhemert,Bergsche Maas,6,0,44,"100,0","-999,0", , ,scenario_19087,26568,386,2,40.0,12,Bergsche Maas,PRIM,140135,417559,Deze overstroming kan tot nieuwe dijkdoorbraken leiden op andere benedenstroomse locaties in dijkring 24 vanwege extra instroom in de Afgedamde Maas.,0,1,1,1,0,0.0,Point,140135,417559
386,386,19088,tp Bersche Maas 227,1250,,Bergsche Maas,Dijkring 37 - Nederhemert,Bergsche Maas,7,0,44,"100,0","-999,0", , ,scenario_19088,26707,386,2,40.0,12,Bergsche Maas,PRIM,140135,417559,Deze overstroming kan tot nieuwe dijkdoorbraken leiden op andere benedenstroomse locaties in dijkring 24 vanwege extra instroom in de Afgedamde Maas.,0,1,1,1,0,0.0,Point,140135,417559
392,392,13396,Berkum 1/125 jaar,125,,Berkum,Dijkring 53 - Salland,Overijsselse Vecht,3400,536,44863,"50,0","20,0","200,0",vast,scenario_13396,5298,392,2,56.0,82,Berkum,PRIM,206957,504240,,0,1,1,1,0,0.0,Point,206957,504240
392,392,13397,Berkum 1/1250 jaar,1250,,Berkum,Dijkring 53 - Salland,Overijsselse Vecht,4200,668,48050,"50,0","20,0","200,0",vast,scenario_13397,5291,392,2,56.0,82,Berkum,PRIM,206957,504240,,0,1,1,1,0,0.0,Point,206957,504240
392,392,13398,Berkum 1/12500 jaar,12500,,Berkum,Dijkring 53 - Salland,Overijsselse Vecht,6600,825,81339,"50,0","20,0","200,0",vast,scenario_13398,5284,392,2,56.0,82,Berkum,PRIM,206957,504240,,0,1,1,1,0,0.0,Point,206957,504240
393,393,317,Beugen_tp+1d,-9999,,Beugen,Dijkring 36 - Land van Heusden/de Maaskant,Maas,3800,118,79239,"100,0","35,0","300,0", ,scenario_317,5345,393,2,38.0,62,Beugen,PRIM,193550,408750,,1,1,1,0,0,0.0,Point,193550,408750
393,393,318,Beugen_tp-1d,125,,Beugen,Dijkring 36 - Land van Heusden/de Maaskant,Maas,110,2,215,"100,0","12,0","100,0", ,scenario_318,5338,393,2,38.0,62,Beugen,PRIM,193550,408750,,1,1,1,0,0,0.0,Point,193550,408750
