breach_id,return_period,log_damage
1678,200,9.210440366976517
1678,2000,9.852246888342531
1679,200,9.546884034617925
1679,2000,9.90353755128617
1680,200,9.15915233520675
1680,2000,9.741027444837728
1681,200,9.169622538697624
1681,2000,9.680406499268875
1682,200,9.90353755128617
1682,2000,10.463131911491967
1683,200,10.165890277802454
1683,2000,10.165890277802454
1684,200,9.680406499268875
1684,2000,9.741027444837728
1685,200,8.630700432209832
1685,2000,8.716207971151853
1685,10000,8.748463629942055
1686,200,9.305741456739435
1686,2000,9.305741456739435
1686,20000,9.093918908958932
1687,-9999,9.741027444837728
1688,400,4.709530201312334
1688,4000,7.170888478512505
1688,40000,7.696667081526462
1715,20000,6.68586094706836
1719,125,7.244941546337007
1719,1250,8.853808274977197
1719,12500,9.61587214452889
1802,125,9.305741456739435
1802,1250,9.305741456739435
1802,12500,9.305741456739435
1806,50,2.70805020110221
1806,500,4.290459441148391
1806,5000,4.543294782270004
1807,50,3.044522437723423
1807,500,4.290459441148391
1807,5000,4.543294782270004
1809,4000,1.3862943611198906
1809,40000,2.70805020110221
1809,400000,5.8888779583328805
1810,4000,5.916202062607435
1810,40000,6.7464121285733745
1810,400000,8.131824785007195
1811,10000,4.343805421853684
1811,100000,5.14166355650266
1811,1000000,6.53813982376767
1812,125,8.268988209506656
1812,1250,8.764209507142004
1812,10000,9.116139576577355
1812,12500,9.116139576577355
1813,10000,4.875197323201151
1813,100000,5.442417710521793
1813,1000000,5.993961427306569
1815,100000,4.948759890378168
1815,1000000,5.564520407322694
1816,400,4.430816798843313
1816,4000,4.532599493153256
1816,40000,4.61512051684126
1816,400000,4.795790545596741
1817,125,9.852246888342531
1817,1250,10.12667110305036
1817,12500,10.239995502805316
1819,125,3.58351893845611
1819,1250,3.970291913552122
1819,12500,4.143134726391533
1819,125000,4.248495242049359
1820,1250,2.833213344056216
1820,125000,4.143134726391533
1821,125,3.6888794541139363
1821,1250,3.9512437185814275
1821,12500,4.127134385045092
1821,125000,4.248495242049359
1840,125,8.31898612539206
1840,1250,8.79497643168877
1840,12500,9.024131268455035
1854,125,4.442651256490317
1854,1250,6.236369590203704
1854,12500,6.55250788703459
1859,200,5.442417710521793
1859,2000,5.5254529391317835
1859,10000,5.5254529391317835
1860,200,4.532599493153256
1860,2000,4.709530201312334
1860,10000,4.709530201312334
1862,1250,7.244941546337007
1870,400,5.081404364984463
1870,4000,5.707110264748875
1870,40000,6.133398042996649
1871,12500,0.6931471805599453
1872,200,8.497194544909547
1872,2000,8.764209507142004
1872,20000,8.79497643168877
1873,125,7.438971592395862
1873,1250,7.741099090035366
1873,12500,7.901377353792616
1926,200,4.48863636973214
1926,2000,4.875197323201151
1926,20000,5.442417710521793
1926,200000,5.673323267171493
1927,1250,8.682877107057168
1927,12500,8.867990898182093
1931,4000,8.999742789830492
1931,40000,9.248456412508602
1931,400000,9.61587214452889
1932,4000,8.974744612722734
1932,40000,8.987321812850125
1932,400000,9.04793908261736
1933,200,8.537191877922927
1933,2000,8.497194544909547
1933,10000,8.699681400989514
1934,4000,8.824824939175638
1934,40000,8.936035096566041
1934,400000,9.210440366976517
1935,4000,8.31898612539206
1935,40000,8.612685172875459
1935,400000,9.012011377036412
1936,40000,1.0986122886681098
1936,400000,4.02535169073515
1937,2000,6.33810063348203
1937,20000,8.630700432209832
1937,200000,8.999742789830492
1938,2000,3.4563714102465877
1938,20000,3.8501476017100584
1938,200000,4.2626798770413155
1939,2000,1.791759469228055
1939,20000,2.302585092994046
1939,200000,2.6390573296152584
1940,2000,2.3978952727983707
1940,20000,2.5649493574615367
1940,200000,2.6390573296152584
1943,1000,4.795790545596741
1943,10000,6.447305862541213
1943,100000,7.00397413672268
1943,1000000,7.313886831633462
1944,1000,3.6109179126442243
1944,10000,4.343805421853684
1944,100000,5.638354669333745
1944,1000000,6.398594934535208
1947,125,9.741027444837728
1947,1250,9.798182590890704
1947,12499,9.852246888342531
1949,200,8.85969122658532
1949,2000,8.88043001787084
1949,20000,8.867990898182093
1950,4000,4.499809670330265
1950,40000,5.484796933490655
1950,400000,6.7464121285733745
1951,4000,3.295836866004329
1951,40000,5.5254529391317835
1951,400000,5.198497031265826
1952,200,9.19023970026918
1952,2000,9.146530498675165
1952,20000,9.006480305091973
1953,4000,7.783640596221253
1953,40000,7.741099090035366
1953,400000,7.937731775260109
1955,1000,8.987321812850125
1955,10000,9.19023970026918
1955,100000,9.392745258631441
1955,1000000,9.546884034617925
2161,10000,8.575650760987806
2161,100000,9.305741456739435
2161,1000000,9.798182590890704
2162,200000,2.6390573296152584
2164,4000,7.3783837129967145
2164,40000,7.696667081526462
2164,400000,7.741099090035366
2165,4000,7.0909098220799835
2165,40000,7.496097345175956
2165,400000,7.550135342488429
2166,4000,5.303304908059076
2166,40000,6.137280243424753
2166,400000,6.53813982376767
2167,4000,4.948759890378168
2167,40000,6.211378909989172
2167,400000,6.580639137284949
2168,4000,3.091042453358316
2168,40000,4.934635298505573
2168,400000,4.189654742026425
2169,4000,4.795790545596741
2169,40000,5.707110264748875
2169,400000,6.175867270105761
2171,20000,3.8918202981106265
2173,200000,3.58351893845611
2174,200000,2.5649493574615367
2180,400,3.6109179126442243
2180,4000,4.127134385045092
2180,40000,5.25227342804663
2180,400000,5.638354669333745
2181,40000,2.1972245773362196
2181,400000,3.5553480614894135
2182,400,5.831882477283517
2182,4000,6.154858094016418
2182,40000,6.293419278846481
2182,400000,6.46302945692067
2183,400,1.0986122886681098
2183,4000,1.791759469228055
2183,40000,2.5649493574615367
2183,400000,3.5553480614894135
2184,400,3.871201010907891
2184,4000,3.9512437185814275
2184,40000,4.007333185232471
2185,400,4.442651256490317
2185,4000,4.875197323201151
2185,40000,5.198497031265826
2185,400000,5.802118375377063
2186,400,4.060443010546419
2186,4000,4.543294782270004
2186,40000,4.948759890378168
2186,400000,5.739792912179234
2187,400,4.143134726391533
2187,4000,4.5217885770490405
2187,40000,4.875197323201151
2187,400000,5.198497031265826
2188,400,5.5254529391317835
2188,4000,5.942799375126701
2188,40000,6.46302945692067
2188,400000,6.769641976852503
2189,400,5.771441123130016
2189,4000,6.311734809152915
2189,40000,6.647688373563329
2189,400000,7.601402334583733
2190,400,5.442417710521793
2190,4000,5.831882477283517
2190,40000,6.255750041753367
2190,400000,6.7464121285733745
2191,400,6.111467339502679
2191,4000,6.311734809152915
2191,40000,6.660575149839686
2191,400000,7.00397413672268
2192,400,7.170888478512505
2192,4000,7.550135342488429
2192,40000,8.24301946898925
