breach_id,geometry_x,geometry_y,river,dijkring,breach_name,initial_breach_width,breach_growth_method
1096,66584,427601,Haringvliet,Dijkring 20 - Voorne-Putten,"Haringvliet km 1026,5 (dkr20 km 0,8)","10,0",automatisch
1097,88594,414875,Haringvliet,Dijkring 21 - Hoekse Waard,"Haringvliet km 999 (Dkr21 km 40,8)","10,0",automatisch
1098,68530,439051,Hartelkanaal + havens,Dijkring 20 - Voorne-Putten,"Hartelkanaal km 17,3 (dkr20 km 49,6)","10,0",automatisch
1099,80124,431189,Hartelkanaal + havens,Dijkring 20 - Voorne-Putten,"Hartelkanaal km 2 (dkr20 km 34,4)","10,0",automatisch
1100,77930,431231,Hartelkanaal + havens,Dijkring 20 - Voorne-Putten,"Hartelkanaal km 4,3 (dkr20 km 36,6)","10,0",automatisch
1101,76308,431980,Hartelkanaal + havens,Dijkring 20 - Voorne-Putten,"Hartelkanaal km 6 (dkr20 km 38,4)","10,0",automatisch
1102,203011,512882,Zwarte Water,Dijkring 09 - Vollenhove,Hasselt,"20,0",vast
1103,202200,497794,IJssel,Dijkring 52 - Oost Veluwe,Hattem,"-999,0",vast
1104,113907,552420,Noordzee,Dijkring 13 - Noord-Holland,HAVENDIJK_0.5,"10,0", 
1105,192497,442713,Nederrijn,Dijkring 47 - Arnhemse- en Velpsebroek,Havenweg,"-999,0", 
1108,110845,552837,Noordzee,Dijkring 13 - Noord-Holland,HELDERSE ZEEWERING_2,"10,0", 
1109,112810,553179,Noordzee,Dijkring 13 - Noord-Holland,HELDERSE ZEEWERING_4,"10,0", 
1110,204003,433096,Boven Rijn,Dijkring 48 - Rijn en IJssel,Herwen,"-9999,0",vast
1111,207746,504599,Vecht,Dijkring 09 - Vollenhove,Hessenpoort,"20,0",vast
1113,180500,441700,Nederrijn,"Dijkring 43 - Betuwe, Tieler- en Culemborgerwaard",Heteren,"-999,0",vast
1114,185500,419350,Maas,Dijkring 41 - Land van Maas en Waal,Heumen,"-9999,0",vast
1115,140050,416950,Bergsche Maas,Dijkring 36 - Land van Heusden/de Maaskant,Heusden,"12,0", 
1125,156233,549577,IJsselmeer,Dijkring 06 - Friesland en Groningen,Hindelopen,"-999,0",automatisch
1127,69650,443025,Noordzee,Dijkring 14 - Zuid-Holland,HoekvanHolland (dp D214),"10,0",automatisch
1128,150796,418466,Maas,Dijkring 38 - Bommelerwaard,Hoenzadriel,"-9999,0",vast
1168,104380,417540,Hollandsch Diep,Dijkring 22 - Eiland van Dordrecht,"Hollandsch Diep km 980 (Dkr22 km 19,0)","10,0",automatisch
1169,101911,415336,Hollandsch Diep,Dijkring 21 - Hoekse Waard,"Hollandsch Diep km 984 (Dkr21 km 25,2)","10,0",automatisch
1170,99362,414294,Hollandsch Diep,Dijkring 21 - Hoekse Waard,"Hollandsch Diep km 986 (Dkr21 km 28,2)","10,0",automatisch
1171,97823,414326,Hollandsch Diep,Dijkring 21 - Hoekse Waard,"Hollandsch Diep km 988 (Dkr21 km 29,8)","10,0",automatisch
1172,96422,413743,Hollandsch Diep,Dijkring 21 - Hoekse Waard,"Hollandsch Diep km 989 (Dkr21 km 31,0)","10,0",automatisch
1173,93943,413637,Hollandsch Diep,Dijkring 21 - Hoekse Waard,"Hollandsch Diep km 993 (Dkr21 km 34,0)","10,0",automatisch
1174,90544,414888,Hollandsch Diep,Dijkring 21 - Hoekse Waard,"Hollandsch Diep km 997 (Dkr21 km 38,6)","10,0",automatisch
1175,104277,440776,Hollandsche IJssel,Dijkring 15 - Lopiker- en Krimpenerwaard,Hollandsche IJssel km 10.9 (Dkr15_km 32.2),"10,0",automatisch
1176,103521,439641,Hollandsche IJssel,Dijkring 15 - Lopiker- en Krimpenerwaard,Hollandsche IJssel km 12.3 (Dkr15_km 29.6),"10,0",automatisch
1177,101807,437621,Hollandsche IJssel,Dijkring 15 - Lopiker- en Krimpenerwaard,Hollandsche IJssel km 15.2 (Dkr15_km 26.5),"10,0",automatisch
1178,100889,437712,Hollandsche IJssel,Dijkring 15 - Lopiker- en Krimpenerwaard,Hollandsche IJssel km 16 (Dkr15_km 25.5),"10,0",automatisch
1179,105898,444226,Hollandsche IJssel,Dijkring 15 - Lopiker- en Krimpenerwaard,Hollandsche IJssel km 5.3 (Dkr15_km 37.4),"0,0",automatisch
1180,104710,443268,Hollandsche IJssel,Dijkring 15 - Lopiker- en Krimpenerwaard,Hollandsche IJssel km 7 (Dkr15_km 35.6),"10,0",automatisch
