breach_id,geometry_x,geometry_y,river,dijkring,breach_name,initial_breach_width,breach_growth_method
1181,104495,442698,Hollandsche IJssel,Dijkring 15 - Lopiker- en Krimpenerwaard,Hollandsche IJssel km 7.5 (Dkr15_km 35.0),"10,0",automatisch
1182,103095,442476,Hollandsche IJssel,Dijkring 15 - Lopiker- en Krimpenerwaard,Hollandsche IJssel km 9 (Dkr15_km 33.3),"0,0",automatisch
1183,103381,442937,Hollandsche IJssel,Dijkring 14 - Zuid-Holland,"Hollandsche IJssel, Nieuwerkerk Noord","10,0",automatisch
1184,103349,439732,Hollandsche IJssel,Dijkring 14 - Zuid-Holland,"Hollandsche IJssel, Polder Esse","10,0",automatisch
1185,106424,445258,Hollandsche IJssel,Dijkring 14 - Zuid-Holland,"Hollandsche IJssel, Zuidplaspolder","5,0",automatisch
1188,172016,604729,Waddenzee,Dijkring 02 - Ameland,Hollum,"10,0",automatisch
1189,188138,599340,Waddenzee,Dijkring 06 - Friesland en Groningen,Holwerd,"-9999,0", 
1207,105117,529654,Noordzee,Dijkring 13 - Noord-Holland,HONDSBOSSCHE ZEEWERING_3,"10,0", 
1215,205988,474312,IJssel,Dijkring 52 - Oost Veluwe,Hoven Noord,"-9999,0",vast
1216,206912,472912,IJssel,Dijkring 52 - Oost Veluwe,Hoven Zuid,"-9999,0",vast
1218,148415,423805,Waal,Dijkring 38 - Bommelerwaard,Hurwenen,"-9999,0",vast
1229,228007,414091,Boven Rijn,Dijkring 48 - Rijn en IJssel,HW93_Haffen-Mehr,"-999,0", 
1230,98730,497900,Noordzee,Dijkring 44 - Kromme Rijn,IJmuiden,"50,0", 
1245,120123,562910,Waddenzee,Dijkring 05 - Texel,IJSDIJK_1.5,"10,0", 
1246,191099,508501,IJssel,Dijkring 10 - Mastenbroek,IJsselmuiden,"20,0",vast
1247,165241,435268,Waal,"Dijkring 43 - Betuwe, Tieler- en Culemborgerwaard",IJzendoornARK,"-999,0",vast
1250,120607,576291,Waddenzee,Dijkring 05 - Texel,INLAAGDIJK VAN 1938_0,"10,0", 
1269,206791,609827,Waddenzee,Dijkring 01 - Schiermonnikoog,Jachthaven,"10,0",automatisch
1283,189140,509310,IJssel,Dijkring 11 - IJsseldelta,Kampen Noord,"-999,0",
1284,191600,506700,IJssel,Dijkring 11 - IJsseldelta,Kampen_Zuid,"-999,0",
1519,196990,436320,Pannerdensch kanaal,Dijkring 48 - Rijn en IJssel,Kandiagemaal,"-9999,0",vast
1522,156790,443600,Nederrijn,Dijkring 44 - Kromme Rijn,Kasteel Amerongen,"-9999,0",automatisch
1523,188550,418000,Maas,Dijkring 36 - Land van Heusden/de Maaskant,Katwijk,"12,0", 
1524,87799,469455,Noordzee,Dijkring 14 - Zuid-Holland,KatwijkaanZee,"50,0",automatisch
1525,132701,499273,Markermeer,Dijkring 13 - Noord-Holland,KATWOUDERZEEDIJK_1,"10,0", 
1526,175850,418950,Maas,Dijkring 36 - Land van Heusden/de Maaskant,Keent,"12,0", 
1528,121418,414009,Bergsche Maas,Dijkring 35 - Donge,Keizersveer,"-999,0",vast
1529,196950,430150,Waal,Dijkring 42 - Ooij en Millingen,Kekerdom,"-9999,0",vast
1546,166994,440335,Nederrijn,"Dijkring 43 - Betuwe, Tieler- en Culemborgerwaard",KesterenARK,"-999,0",vast
1547,74950,453300,Noordzee,Dijkring 14 - Zuid-Holland,Kijkduin,"10,0",automatisch
1548,147434,598406,Waddenzee,Dijkring 03 - Terschelling,Kinnum,"10,0",automatisch
1549,152050,599650,Waddenzee,Dijkring 03 - Terschelling,Kinnum en Hoorn,"10,0",automatisch
1550,94153,410469,Hollandsch Diep,Dijkring 34 - West-Brabant,Klundert,"12,0", 
1568,114615,550476,Waddenzee,Dijkring 13 - Noord-Holland,KOEGRASZEEDIJK (1E WK)_0.5,"10,0", 
1600,184684,418305,Maas,Dijkring 36 - Land van Heusden/de Maaskant,Kraaienbergseplas,"12,0", 
1601,72399,410954,Kramer,Dijkring 25 - Goeree-Overflakkee,"Krammer (dkr25 km 43,8)","10,0",automatisch
1629,184821,607503,Waddenzee,Dijkring 02 - Ameland,kwelder,"10,0",automatisch
1630,212087,445604,IJssel,Dijkring 49 - IJsselland,Laag-Keppel,"-999,0",vast
1637,108535,414551,Amer,Dijkring 34 - West-Brabant,Lage Zwaluwe,"12,0", 
1642,205060,506478,Overijsselse Vecht,Dijkring 53 - Salland,Langenholte,"20,0",vast
1675,140058,441866,Lek,Dijkring 16 - Alblasserwaard en Vijfheerenlanden,Lek km 943 (dkr16 VY095),"10,0",automatisch
1676,135677,445597,Lek,Dijkring 16 - Alblasserwaard en Vijfheerenlanden,Lek km 950 (dkr16 VY062),"10,0",automatisch
