source,target,distance_km,same_river,same_dijkring
38,234,2.600890039967088,1,1
38,93,5.376847124477317,1,1
38,59,6.823596265899676,0,1
38,467,11.103323916737727,0,1
38,518,12.004175940063524,1,1
39,473,1.5689518794405393,1,0
39,407,5.584618608284724,1,0
39,599,6.227791342040932,1,0
39,84,6.569716051702692,1,0
39,598,7.35248379801003,1,0
40,209,3.1490812946000615,1,0
40,512,4.481504769605852,1,0
40,511,7.288200463763329,1,0
40,405,7.899026332403254,1,1
40,210,8.741652990138649,1,0
41,406,1.4436845223247357,0,0
41,247,2.9524786197363055,1,1
41,401,3.7024090805852343,1,1
41,239,5.225852083631912,0,0
41,149,7.406967665651039,1,1
42,71,1.5366333329717927,1,1
42,92,3.3305398961729917,1,0
42,249,7.3750962705581005,1,0
42,91,7.478649744439166,1,0
42,453,8.231605068271922,1,1
43,299,3.0010659772820723,1,0
43,510,4.427573263086677,1,0
43,517,8.711924816020856,1,0
43,45,9.495104001536793,1,0
43,99,10.323032500191017,1,1
44,178,1.4626346091898688,1,0
44,466,1.995967935614197,1,0
44,177,2.372432506943032,1,0
44,106,4.204705102620159,1,0
44,99,4.762099116986122,1,0
45,99,1.540519392932137,1,0
45,177,3.4374176353768826,1,0
45,44,5.006169393857943,1,1
45,178,5.012140460920863,1,0
45,466,5.262594417205263,1,0
46,5,1.698528775146303,1,0
46,298,6.184254199173899,1,1
46,77,8.178630692236935,0,0
46,194,8.872992730753248,1,1
46,184,10.709369962794263,0,0
47,432,7.397849687578141,1,0
47,186,7.416751917113044,1,0
47,51,11.524899652491557,1,1
47,509,12.740704690086808,1,1
47,52,19.15058581349406,1,1
48,58,5.1393735026752045,1,1
48,49,6.070401387058355,1,1
48,50,9.035514373847237,1,1
48,87,10.098081500958486,0,1
48,57,15.828482807900446,1,1
49,50,3.471922954214278,1,1
49,87,4.857628330780361,0,1
49,48,6.070401387058355,1,1
49,58,11.14014546583661,1,1
49,57,21.822620305545346,1,1
50,87,1.4550635724943428,0,1
50,49,3.471922954214278,1,1
50,48,9.035514373847237,1,1
50,58,14.174187243013266,1,1
50,57,24.854344730851388,1,1
51,52,7.80468122347095,1,1
51,47,11.524899652491557,1,1
51,53,13.195202537286043,1,1
51,432,14.65070332782696,1,0
51,186,15.133517006961732,1,0
52,53,5.414320363628293,1,1
52,51,7.80468122347095,1,1
52,54,11.522283150487146,1,1
52,55,18.104316612344142,1,1
52,47,19.15058581349406,1,1
53,52,5.414320363628293,1,1
53,54,6.19034732466604,1,1
53,55,12.729609145610087,1,1
53,51,13.195202537286043,1,1
53,56,18.163736537397806,1,1
54,53,6.19034732466604,1,1
54,55,6.592842558411356,1,1
54,52,11.522283150487146,1,1
54,56,12.36432954106287,1,1
54,57,18.578444741150967,1,1
55,56,6.205667893144137,1,1
55,54,6.592842558411356,1,1
55,53,12.729609145610087,1,1
55,57,14.184387191556779,1,1
55,52,18.104316612344142,1,1
56,55,6.205667893144137,1,1
56,57,9.14458364279096,1,1
56,54,12.36432954106287,1,1
56,53,18.163736537397806,1,1
56,58,19.321149292938035,1,1
57,56,9.14458364279096,1,1
57,58,10.694388248048599,1,1
57,55,14.184387191556779,1,1
57,48,15.828482807900446,1,1
57,54,18.578444741150967,1,1
58,48,5.1393735026752045,1,1
58,57,10.694388248048599,1,1
58,49,11.14014546583661,1,1
58,50,14.174187243013266,1,1
58,87,15.210943757702873,0,1
59,467,4.281994395138788,1,1
59,38,6.823596265899676,0,1
59,234,9.138297707997918,0,1
59,93,11.864070844360294,0,1
59,434,12.831423693417655,1,1
60,418,1.0652699188468622,1,0
60,32,2.951257359160668,0,1
60,422,3.207757628001218,1,0
60,419,4.319282347798069,1,1
60,364,4.968248182206682,0,1
61,62,1.5672195123849115,1,1
61,98,2.3806032848838967,1,0
61,598,2.5663772131157963,1,1
61,407,4.576038133582368,1,1
61,206,5.693077638676641,1,1
62,98,1.396127859474196,1,0
62,61,1.5672195123849115,1,1
62,598,4.102868386872774,1,1
62,206,5.583823063099331,1,1
62,103,5.955684427502854,1,0
63,100,1.1327510759209192,1,0
63,75,2.1037347741576173,0,0
63,37,5.726307710907614,1,0
63,152,6.262587324740471,1,1
63,15,6.56954381977927,1,0
64,95,2.060605736185358,1,0
64,65,2.683812400299246,0,1
64,195,2.7319535135137274,1,1
64,73,4.279768802166771,0,0
64,514,4.552177500932933,0,1
65,95,1.9764212607640104,0,0
65,514,1.9975627649713539,0,1
65,513,2.0818001825343373,0,0
65,64,2.683812400299246,0,1
65,73,3.797456253862577,0,0
66,67,0.37867136147324376,1,0
66,68,1.3809840694229605,1,1
66,69,1.6010449712609576,1,0
66,386,1.9589328727651696,0,1
66,70,2.59583223648987,1,0
67,66,0.37867136147324376,1,0
67,68,1.2481558396290104,1,0
67,69,1.3909798704510428,1,1
67,386,2.271572583035814,0,0
67,70,2.3635230060230006,1,1
68,69,0.36915308477649217,1,0
68,67,1.2481558396290104,1,0
68,70,1.2895960607880284,1,0
68,66,1.3809840694229605,1,1
68,156,3.0928706730156046,0,0
69,68,0.36915308477649217,1,0
69,70,0.9965861728922392,1,1
69,67,1.3909798704510428,1,1
69,66,1.6010449712609576,1,0
69,156,2.7370445739885203,0,1
70,69,0.9965861728922392,1,1
70,68,1.2895960607880284,1,0
70,156,1.9044655418253174,0,1
70,67,2.3635230060230006,1,1
